beneficiary_id,Beneficiary_creationDate,Beneficiary_modificationdate,subscription_id,Subscription_CreationDate,Subscription_modificationDate
15981,"2015-10-20 01:59:15","2015-10-20 01:59:15",15982,"2015-10-20 01:59:15","2016-12-02 23:52:58"
16002,"2015-10-20 01:59:15","2015-10-20 01:59:15",16003,"2015-10-20 01:59:15","2016-12-09 22:42:47"
16005,"2015-10-20 01:59:15","2015-10-20 01:59:15",16006,"2015-10-20 01:59:15","2016-12-14 22:45:17"
16023,"2015-10-20 01:59:15","2015-10-20 01:59:15",16024,"2015-10-20 01:59:15","2016-12-19 22:52:36"
16041,"2015-10-20 01:59:15","2015-10-20 01:59:15",16042,"2015-10-20 01:59:15","2017-01-06 22:39:46"
16062,"2015-10-20 01:59:15","2015-10-20 01:59:15",16063,"2015-10-20 01:59:15","2017-01-20 22:42:18"
16065,"2015-10-20 01:59:15","2015-10-20 01:59:15",16066,"2015-10-20 01:59:15","2016-12-20 16:06:48"
16068,"2015-10-20 01:59:15","2015-10-20 01:59:15",16069,"2015-10-20 01:59:15","2016-12-11 22:48:15"
16635,"2015-10-20 01:59:18","2015-10-20 01:59:18",16636,"2015-10-20 01:59:18","2016-12-06 23:59:09"
16644,"2015-10-20 01:59:18","2015-10-20 01:59:18",16645,"2015-10-20 01:59:18","2016-12-03 00:03:26"
16704,"2015-10-20 01:59:18","2015-10-20 01:59:18",16705,"2015-10-20 01:59:18","2016-12-02 05:19:04"
16707,"2015-10-20 01:59:18","2015-10-20 01:59:18",16708,"2015-10-20 01:59:18","2016-12-16 22:47:49"
16710,"2015-10-20 01:59:18","2015-10-20 01:59:18",16711,"2015-10-20 01:59:18","2017-01-19 22:45:55"
17130,"2015-10-20 01:59:20","2015-10-20 01:59:20",17131,"2015-10-20 01:59:20","2016-12-06 23:59:09"
17808,"2015-10-20 01:59:22","2015-10-20 01:59:22",17809,"2015-10-20 01:59:22","2016-12-20 12:45:22"
17904,"2015-10-20 01:59:23","2015-10-20 01:59:23",17905,"2015-10-20 01:59:23","2016-12-18 22:53:20"
17907,"2015-10-20 01:59:23","2015-10-20 01:59:23",17908,"2015-10-20 01:59:23","2016-12-20 14:43:13"
17910,"2015-10-20 01:59:23","2015-10-20 01:59:23",17911,"2015-10-20 01:59:23","2016-12-09 22:45:34"
17928,"2015-10-20 01:59:23","2015-10-20 01:59:23",17929,"2015-10-20 01:59:23","2016-12-06 00:02:12"
17949,"2015-10-20 01:59:23","2015-10-20 01:59:23",17950,"2015-10-20 01:59:23","2016-12-07 00:01:29"
17970,"2015-10-20 01:59:23","2015-10-20 01:59:23",17971,"2015-10-20 01:59:23","2016-12-06 23:59:11"
18468,"2015-10-20 01:59:25","2015-10-20 01:59:25",18469,"2015-10-20 01:59:25","2016-12-09 22:42:47"
18573,"2015-10-20 01:59:25","2015-10-20 01:59:25",18574,"2015-10-20 01:59:25","2016-12-20 13:55:33"
18579,"2015-10-20 01:59:25","2015-10-20 01:59:25",18580,"2015-10-20 01:59:25","2016-12-18 22:53:21"
18582,"2015-10-20 01:59:25","2015-10-20 01:59:25",18583,"2015-10-20 01:59:25","2016-12-05 00:34:52"
18591,"2015-10-20 01:59:25","2015-10-20 01:59:25",18592,"2015-10-20 01:59:25","2016-12-22 22:43:56"
18594,"2015-10-20 01:59:25","2015-10-20 01:59:25",18595,"2015-10-20 01:59:25","2016-12-20 23:51:15"
18597,"2015-10-20 01:59:25","2015-10-20 01:59:25",18598,"2015-10-20 01:59:25","2016-12-20 07:02:37"
18603,"2015-10-20 01:59:25","2015-10-20 01:59:25",18604,"2015-10-20 01:59:25","2016-12-15 22:48:55"
18609,"2015-10-20 01:59:25","2015-10-20 01:59:25",18610,"2015-10-20 01:59:25","2016-12-19 22:51:17"
18612,"2015-10-20 01:59:25","2015-10-20 01:59:25",18613,"2015-10-20 01:59:25","2016-12-12 10:24:59"
18621,"2015-10-20 01:59:25","2015-10-20 01:59:25",18622,"2015-10-20 01:59:25","2016-12-20 11:54:50"
18636,"2015-10-20 01:59:26","2015-10-20 01:59:26",18637,"2015-10-20 01:59:26","2016-12-27 22:43:39"
18639,"2015-10-20 01:59:26","2015-10-20 01:59:26",18640,"2015-10-20 01:59:26","2016-12-20 23:51:15"
18642,"2015-10-20 01:59:26","2015-10-20 01:59:26",18643,"2015-10-20 01:59:26","2016-12-25 22:42:40"
18645,"2015-10-20 01:59:26","2015-10-20 01:59:26",18646,"2015-10-20 01:59:26","2017-01-04 22:39:47"
18648,"2015-10-20 01:59:26","2015-10-20 01:59:26",18649,"2015-10-20 01:59:26","2017-01-11 22:40:51"
18657,"2015-10-20 01:59:26","2015-10-20 01:59:26",18658,"2015-10-20 01:59:26","2017-01-29 22:44:33"
18660,"2015-10-20 01:59:26","2015-10-20 01:59:26",18661,"2015-10-20 01:59:26","2016-12-20 23:51:15"
18663,"2015-10-20 01:59:26","2015-10-20 01:59:26",18664,"2015-10-20 01:59:26","2016-12-22 22:42:17"
18666,"2015-10-20 01:59:26","2015-10-20 01:59:26",18667,"2015-10-20 01:59:26","2016-12-25 22:42:40"
18675,"2015-10-20 01:59:26","2015-10-20 01:59:26",18676,"2015-10-20 01:59:26","2016-12-17 22:48:49"
18684,"2015-10-20 01:59:26","2015-10-20 01:59:26",18685,"2015-10-20 01:59:26","2016-12-07 22:44:36"
18690,"2015-10-20 01:59:26","2015-10-20 01:59:26",18691,"2015-10-20 01:59:26","2016-12-17 22:50:41"
18696,"2015-10-20 01:59:26","2015-10-20 01:59:26",18697,"2015-10-20 01:59:26","2016-12-20 23:51:16"
18699,"2015-10-20 01:59:26","2015-10-20 01:59:26",18700,"2015-10-20 01:59:26","2016-12-24 22:43:46"
18702,"2015-10-20 01:59:26","2015-10-20 01:59:26",18703,"2015-10-20 01:59:26","2016-12-20 23:51:16"
18705,"2015-10-20 01:59:26","2015-10-20 01:59:26",18706,"2015-10-20 01:59:26","2016-12-20 16:51:51"
18711,"2015-10-20 01:59:26","2015-10-20 01:59:26",18712,"2015-10-20 01:59:26","2016-12-24 22:40:25"
18714,"2015-10-20 01:59:26","2015-10-20 01:59:26",18715,"2015-10-20 01:59:26","2016-12-20 13:13:07"
18717,"2015-10-20 01:59:26","2015-10-20 01:59:26",18718,"2015-10-20 01:59:26","2016-12-20 12:01:20"
18720,"2015-10-20 01:59:26","2015-10-20 01:59:26",18721,"2015-10-20 01:59:26","2016-12-20 23:51:16"
19575,"2015-10-20 01:59:29","2015-10-20 01:59:29",19576,"2015-10-20 01:59:29","2016-12-02 01:58:49"
19578,"2015-10-20 01:59:29","2015-10-20 01:59:29",19579,"2015-10-20 01:59:29","2016-12-22 22:42:17"
19587,"2015-10-20 01:59:29","2015-10-20 01:59:29",19588,"2015-10-20 01:59:29","2016-12-20 12:28:33"
19593,"2015-10-20 01:59:29","2015-10-20 01:59:29",19594,"2015-10-20 01:59:29","2016-12-20 23:51:16"
19605,"2015-10-20 01:59:29","2015-10-20 01:59:29",19606,"2015-10-20 01:59:29","2016-12-19 22:49:25"
19620,"2015-10-20 01:59:29","2015-10-20 01:59:29",19621,"2015-10-20 01:59:29","2016-12-14 22:44:03"
19623,"2015-10-20 01:59:29","2015-10-20 01:59:29",19624,"2015-10-20 01:59:29","2016-12-20 17:07:07"
20121,"2015-10-20 01:59:31","2015-10-20 01:59:31",20122,"2015-10-20 01:59:31","2016-12-22 22:42:17"
20124,"2015-10-20 01:59:31","2015-10-20 01:59:31",20125,"2015-10-20 01:59:31","2016-12-05 00:34:52"
20178,"2015-10-20 01:59:32","2015-10-20 01:59:32",20179,"2015-10-20 01:59:32","2016-12-20 23:51:16"
20187,"2015-10-20 01:59:32","2015-10-20 01:59:32",20188,"2015-10-20 01:59:32","2016-12-20 16:34:16"
20190,"2015-10-20 01:59:32","2015-10-20 01:59:32",20191,"2015-10-20 01:59:32","2017-01-02 00:01:28"
20211,"2015-10-20 01:59:32","2015-10-20 01:59:32",20212,"2015-10-20 01:59:32","2016-12-27 22:43:39"
20214,"2015-10-20 01:59:32","2015-10-20 01:59:32",20215,"2015-10-20 01:59:32","2017-01-01 11:58:24"
20226,"2015-10-20 01:59:32","2015-10-20 01:59:32",20227,"2015-10-20 01:59:32","2016-12-04 00:02:41"
20235,"2015-10-20 01:59:32","2015-10-20 01:59:32",20236,"2015-10-20 01:59:32","2017-01-02 22:43:10"
20865,"2015-10-20 01:59:34","2015-10-20 01:59:34",20866,"2015-10-20 01:59:34","2016-12-06 23:50:08"
20880,"2015-10-20 01:59:34","2015-10-20 01:59:34",20881,"2015-10-20 01:59:34","2016-12-10 22:45:12"
20907,"2015-10-20 01:59:34","2015-10-20 01:59:34",20908,"2015-10-20 01:59:34","2017-01-09 22:38:48"
20910,"2015-10-20 01:59:34","2015-10-20 01:59:34",20911,"2015-10-20 01:59:34","2016-12-20 22:50:08"
20934,"2015-10-20 01:59:35","2015-10-20 01:59:35",20935,"2015-10-20 01:59:35","2016-12-06 00:02:41"
20937,"2015-10-20 01:59:35","2015-10-20 01:59:35",20938,"2015-10-20 01:59:35","2017-01-06 14:02:29"
20955,"2015-10-20 01:59:35","2015-10-20 01:59:35",20956,"2015-10-20 01:59:35","2016-12-27 22:43:39"
20958,"2015-10-20 01:59:35","2015-10-20 01:59:35",20959,"2015-10-20 01:59:35","2016-12-06 00:02:42"
20970,"2015-10-20 01:59:35","2015-10-20 01:59:35",20971,"2015-10-20 01:59:35","2016-12-28 22:44:45"
21117,"2015-10-20 01:59:35","2015-10-20 01:59:35",21118,"2015-10-20 01:59:35","2016-12-28 22:42:13"
21327,"2015-10-20 01:59:36","2015-10-20 01:59:36",21328,"2015-10-20 01:59:36","2016-12-20 23:51:16"
21756,"2015-10-20 01:59:38","2015-10-20 01:59:38",21757,"2015-10-20 01:59:38","2016-12-06 00:02:42"
21759,"2015-10-20 01:59:38","2015-10-20 01:59:38",21760,"2015-10-20 01:59:38","2016-12-08 22:44:01"
21771,"2015-10-20 01:59:38","2015-10-20 01:59:38",21772,"2015-10-20 01:59:38","2016-12-20 12:05:52"
21831,"2015-10-20 01:59:38","2015-10-20 01:59:38",21832,"2015-10-20 01:59:38","2016-12-17 22:50:41"
21855,"2015-10-20 01:59:38","2015-10-20 01:59:38",21856,"2015-10-20 01:59:38","2016-12-06 23:59:14"
21870,"2015-10-20 01:59:38","2015-10-20 01:59:38",21871,"2015-10-20 01:59:38","2016-12-08 22:46:02"
21879,"2015-10-20 01:59:38","2015-10-20 01:59:38",21880,"2015-10-20 01:59:38","2017-01-04 22:39:47"
21891,"2015-10-20 01:59:38","2015-10-20 01:59:38",21892,"2015-10-20 01:59:38","2016-12-20 15:20:26"
